rest_index,rest_name,locality,cost_for_two,rating,votes,score,cuisines
1,Byg Brewski Brewing Company,Sarjapur Road,"1,600",4.9,17034,4.897,"['Continental', 'North Indian', 'Italian', 'South Indian', 'Finger Food']"
3,Taaza Thindi,Jayanagar,100,4.9,4152,4.888,['South Indian']
2,Brahmin's Coffee Bar,Basavanagudi,100,4.9,2711,4.882,['South Indian']
0,Punjab Grill,"Orion Mall, Malleshwaram","2,000",4.9,2058,4.877,"['North Indian', 'Mughlai']"
5,Belgian Waffle Factory,Brigade Road,400,4.9,1750,4.873,['Desserts']
15,AB's - Absolute Barbecues,Marathahalli,"1,600",4.8,12306,4.796,"['European', 'Mediterranean', 'North Indian', 'BBQ']"
12,TBC Sky Lounge,HSR,"1,000",4.8,7312,4.794,"['Continental', 'Asian', 'Italian', 'North Indian']"
7,The Boozy Griffin,Marathahalli,"1,800",4.8,4843,4.791,"['European', 'Continental']"
10,CTR,Malleshwaram,150,4.8,4452,4.79,['South Indian']
11,The Globe Grub,Marathahalli,"1,300",4.8,4119,4.789,"['Continental', 'North Indian', 'Asian', 'Italian']"
9,Asia Kitchen By Mainland China,Koramangala 5th Block,"1,500",4.8,2435,4.782,"['Asian', 'Chinese', 'Thai', 'Momos']"
6,Milano Ice Cream,Indiranagar,400,4.8,2168,4.779,"['Ice Cream', 'Desserts']"
16,Barbecue by Punjab Grill,"Mantri Square, Malleshwaram","1,300",4.8,1402,4.769,['BBQ']
8,O.G. Variar & Sons,Rajajinagar,200,4.8,1169,4.762,"['Bakery', 'Desserts']"
14,The Big Barbeque,Electronic City,"1,500",4.8,842,4.749,"['BBQ', 'North Indian', 'Continental', 'Chinese']"
4,Santé Spa Cuisine,Indiranagar,"1,000",4.9,279,4.745,"['Healthy Food', 'Salad', 'Mediterranean']"
13,Punjab Grill,Whitefield,"2,000",4.8,706,4.739,['North Indian']
48,Big Pitcher,Old Airport Road,"1,800",4.6,9469,4.596,"['American', 'Continental', 'North Indian', 'Mediterranean']"
53,Windmills Craftworks,Windmills Craftworks,"2,500",4.6,5977,4.594,"['American', 'North Indian', 'Salad']"
21,Fenny's Lounge And Kitchen,Koramangala 7th Block,"1,600",4.6,6454,4.594,"['Mediterranean', 'Pizza', 'Continental', 'Seafood', 'Salad']"
19,Smoke House Deli,Indiranagar,"1,600",4.6,5464,4.593,"['European', 'Italian', 'American', 'Salad', 'Juices', 'Cafe', 'Burger', 'Healthy Food']"
50,Koramangala Social,Koramangala 7th Block,"1,500",4.6,4876,4.592,"['American', 'North Indian', 'Chinese', 'Asian', 'Biryani', 'Beverages']"
49,Communiti,Residency Road,"1,500",4.6,4108,4.591,"['Continental', 'BBQ', 'Salad']"
52,The London Curry House - The Royale Senate Hotel,Race Course Road,"1,300",4.6,4120,4.591,"['Pizza', 'North Indian', 'Modern Indian']"
56,The Fatty Bao - Asian Gastro Bar,Indiranagar,"1,200",4.6,3861,4.59,"['Japanese', 'Sushi', 'Asian']"
58,Tipsy Bull - The Bar Exchange,Indiranagar,"1,400",4.6,3225,4.588,"['Chinese', 'Continental', 'North Indian', 'Mexican']"
36,Onesta,Marathahalli,600,4.6,3050,4.588,"['Pizza', 'Cafe', 'Italian']"
55,Stories,Rajajinagar,"1,100",4.6,2539,4.585,"['Continental', 'North Indian', 'Chinese']"
25,Brik Oven,Church Street,"1,100",4.6,2321,4.584,"['Cafe', 'Pizza', 'Beverages']"
41,Yauatcha,"1 MG Road Mall, MG Road","2,800",4.6,2388,4.584,"['Chinese', 'Asian', 'Cantonese', 'Tea']"
30,Roots,Koramangala 1st Block,"1,200",4.6,1929,4.581,"['North Indian', 'South Indian', 'Chinese', 'Continental', 'Mangalorean']"
43,BelgYum,"Phoenix Market City Mall, Whitefield",400,4.6,1822,4.58,['Desserts']
54,XOOX Brewmill,Koramangala 5th Block,"2,000",4.6,1704,4.578,"['Modern Indian', 'European', 'Asian']"
38,Here & Now,HSR,750,4.6,1621,4.577,"['Cafe', 'American', 'Burger', 'Beverages']"
24,Chili's American Grill & Bar,Bellandur,"1,800",4.6,1538,4.576,"['American', 'Tex-Mex', 'Burger', 'BBQ']"
32,Caperberry,UB City,"2,200",4.6,1444,4.575,"['Spanish', 'Italian', 'Mediterranean', 'European', 'Salad']"
