rest_name,locality,cuisines,cost_for_two,rating
Brahma Brews                                     ,JP Nagar,"['Continental', 'South Indian', 'Finger Food', 'Pizza', 'Seafood']","1,400",4.3
Jetlag                                     ,Rajajinagar,"['Finger Food', 'Continental', 'North Indian', 'Italian', 'Japanese']","1,650",4.3
eat.fit                                     ,HSR,"['Healthy Food', 'North Indian', 'Biryani', 'Continental', 'Desserts']",500,4.5
Byg Brewski Brewing Company                                     ,Sarjapur Road,"['Continental', 'North Indian', 'Italian', 'South Indian', 'Finger Food']","1,600",4.9
The Pump House                                     ,JP Nagar,"['Continental', 'Finger Food']","1,500",4.3
Truffles                                     ,Koramangala 5th Block,"['Cafe', 'American', 'Burger', 'Steak']",900,4.7
Meghana Foods                                     ,Jayanagar,"['Biryani', 'Andhra', 'North Indian', 'Seafood']",600,4.4
Toit                                     ,Indiranagar,"['Italian', 'American', 'Pizza']","1,500",4.7
Secret Of Bangalore                                     ,Rajarajeshwari Nagar,"['North Indian', 'South Indian', 'Continental', 'Asian', 'Desserts']","1,200",                                         NEW                                     
Biergarten                                     ,Whitefield,"['Continental', 'European', 'BBQ', 'Chinese', 'Asian']","2,400",4.7
Hoot                                     ,Sarjapur Road,"['Continental', 'Italian', 'North Indian']","1,400",4.2
Corner House Ice Cream                                     ,Indiranagar,"['Ice Cream', 'Desserts']",400,4.7
Bob's Bar                                     ,Indiranagar,"['South Indian', 'Finger Food']","1,000",4.4
Bombay Adda                                     ,Koramangala 7th Block,['Modern Indian'],"1,100",4.4
The Bier Library                                     ,Koramangala 6th Block,"['Continental', 'North Indian', 'Pizza', 'BBQ']","2,000",4.3
Communiti                                     ,Residency Road,"['Continental', 'BBQ', 'Salad']","1,500",4.6
Koramangala Social                                     ,Koramangala 7th Block,"['American', 'North Indian', 'Chinese', 'Finger Food']","1,500",4.6
Big Pitcher                                     ,Old Airport Road,"['American', 'Continental', 'North Indian', 'Mediterranean']","1,800",4.7
AB's - Absolute Barbecues                                     ,Marathahalli,"['European', 'Mediterranean', 'North Indian', 'BBQ']","1,600",4.9
Levitate Brewery and Kitchen                                     ,JP Nagar,"['Finger Food', 'North Indian', 'Continental']","1,500",4.6
The Black Pearl                                     ,Marathahalli,"['North Indian', 'European', 'Mediterranean', 'BBQ']","1,500",4.7
Hammered                                     ,HSR,"['North Indian', 'South Indian', 'Continental', 'Asian']","1,200",4.3
Burma Burma                                     ,Indiranagar,"['Asian', 'Burmese']","1,500",4.6
The Pallet                                     ,Whitefield,"['Continental', 'Mediterranean', 'Italian', 'North Indian', 'Finger Food', 'Asian', 'Momos']","1,600",4.5
The 13th Floor                                     ,Barton Centre,"['Asian', 'North Indian', 'Thai']","1,700",4.4
Vapour Pub & Brewery                                     ,Indiranagar,"['North Indian', 'Continental', 'Chinese']","1,400",4.2
Nevermind - Bar & Social                                     ,Indiranagar,"['Continental', 'Asian', 'Modern Indian']","2,000",4.4
Windmills Craftworks                                     ,Windmills Craftworks,"['American', 'North Indian', 'Salad']","2,500",4.6
The Reservoire                                     ,Koramangala 5th Block,"['Continental', 'North Indian', 'Chinese', 'American']","1,300",4.5
Glen's Bakehouse                                     ,Indiranagar,"['Bakery', 'Cafe', 'Italian', 'Desserts']",600,4.2
Boho                                     ,Koramangala 5th Block,"['Continental', 'Asian', 'American', 'North Indian', 'Desserts']","1,200",4.3
The Hole in the Wall Cafe                                     ,Koramangala 4th Block,"['Cafe', 'American', 'Burger']",600,4.6
Kota Kachori                                     ,Koramangala 6th Block,"['Street Food', 'Desserts', 'North Indian', 'Mithai', 'Rajasthani']",400,4.3
Stories                                     ,Rajajinagar,"['Continental', 'North Indian', 'Chinese']","1,100",4.6
ShakesBierre                                     ,Brigade Road,"['Asian', 'Continental', 'European', 'North Indian']","1,500",4.4
The Fatty Bao - Asian Gastro Bar                                     ,Indiranagar,"['Japanese', 'Sushi', 'Asian']","1,200",4.6
The London Curry House - The Royale Senate Hotel                                     ,Race Course Road,"['Pizza', 'North Indian', 'Modern Indian']","1,300",4.5
Barbeque Nation                                     ,Indiranagar,"['North Indian', 'European', 'Mediterranean', 'BBQ', 'Kebab']","1,600",4.7
Arbor Brewing Company                                     ,Brigade Road,"['American', 'Continental']","2,000",4.5
XOOX Brewmill                                     ,Koramangala 5th Block,"['Modern Indian', 'European', 'Asian']","2,000",4.6
Flechazo                                     ,Marathahalli,"['Asian', 'Mediterranean', 'North Indian', 'BBQ']","1,400",4.7
The Globe Grub                                     ,Marathahalli,"['Continental', 'North Indian', 'Asian', 'Italian']","1,300",4.8
Tipsy Bull - The Bar Exchange                                     ,Indiranagar,"['Chinese', 'Continental', 'North Indian', 'Mexican']","1,400",4.6
Indigo XP                                     ,Koramangala 5th Block,"['Finger Food', 'Continental', 'Asian', 'North Indian']","1,400",4.2
TBC Sky Lounge                                     ,HSR,"['Continental', 'Asian', 'Italian', 'North Indian']","1,000",4.8
Skyye                                     ,UB City,['Continental'],"2,500",4.2
Brew and Barbeque - A Microbrewery Pub                                     ,"Soul Space Arena Mall, Marathahalli","['Continental', 'North Indian', 'BBQ', 'Steak']","1,400",4.6
Brooks and Bonds Brewery                                     ,Koramangala 5th Block,"['Continental', 'Mediterranean', 'North Indian', 'Chinese', 'Finger Food']","1,600",4.5
The Druid Garden                                     ,Sahakara Nagar,"['Asian', 'Continental', 'European', 'North Indian', 'Mediterranean']","1,700",4.3
High Ultra Lounge                                     ,Sheraton Grand Bangalore Hotel at Brigade Gateway,"['Japanese', 'Thai', 'Chinese', 'Korean']","2,600",4.1
Hakuna Matata                                     ,JP Nagar,"['North Indian', 'Asian', 'Seafood', 'Chinese']","1,200",4.5
Arena - Artisanal Brewkitchen                                     ,Indiranagar,"['Sushi', 'Continental', 'Pizza', 'Italian', 'Asian']","2,000",4.4
The Yellow Submarine                                     ,Bannerghatta Road,"['Continental', 'North Indian', 'Chinese', 'Pizza', 'Thai']","1,200",4.4
Kazé                                     ,Lavelle Road,"['Asian', 'Japanese', 'Thai']","3,000",4.4
Shivaji Military Hotel                                     ,Jayanagar,"['South Indian', 'Biryani']",450,4.4
The Fisherman's Wharf                                     ,Sarjapur Road,"['Seafood', 'Goan', 'North Indian', 'Continental', 'Asian']","1,400",4.3
Gilly's 104 Bar                                     ,Koramangala 5th Block,"['Continental', 'North Indian', 'Chinese']","1,200",4.4
Al Amanah Cafe                                     ,Kammanahalli,"['Middle Eastern', 'Fast Food', 'Rolls']",300,4.4
Olive Bar And Kitchen                                     ,Richmond Road,"['Mediterranean', 'European', 'Salad']","1,800",4.5
Bombay Brasserie                                     ,Indiranagar,['Modern Indian'],"1,800",4.4
Simon Says Brew Works                                     ,Koramangala 5th Block,"['Continental', 'American', 'Italian', 'Modern Indian', 'Pizza', 'Burger']","1,400",4.5
The Boozy Griffin                                     ,Marathahalli,"['European', 'Continental']","1,800",4.8
Delhi Highway                                     ,Indiranagar,"['North Indian', 'Mughlai']","1,500",4.4
The Fixx                                     ,Koramangala 4th Block,"['Continental', 'South Indian', 'Italian', 'North Indian', 'Chinese']","1,200",4.3
Fenny's Lounge And Kitchen                                     ,Koramangala 7th Block,"['Mediterranean', 'Pizza', 'Continental', 'Seafood', 'Salad']","1,600",4.6
Al Daaz                                     ,HSR,"['North Indian', 'Continental', 'BBQ']",550,4.3
Smoke House Deli                                     ,Indiranagar,"['European', 'Italian', 'Desserts', 'Salad', 'Juices', 'Steak']","1,600",4.6
Soda Bottle Opener Wala                                     ,Lavelle Road,"['Parsi', 'North Indian']","1,300",4.4
Empire Restaurant                                     ,Indiranagar,"['North Indian', 'Mughlai', 'South Indian', 'Chinese']",750,4.1
Three Dots & A Dash                                     ,Indiranagar,"['European', 'Continental']","1,300",4.1
Kurtoskalacs                                     ,Koramangala 5th Block,"['Desserts', 'Fast Food']",400,4.6
The Black Rabbit                                     ,"Escape Hotel & Spa, Indiranagar","['Continental', 'Finger Food']","1,500",4.3
Kritunga Restaurant                                     ,Marathahalli,"['Andhra', 'Biryani', 'North Indian', 'Chinese']",650,3.8
