rest_name,locality,cost_for_two,rating,votes,cuisines
Punjab Grill,"Orion Mall, Malleshwaram","2,000",4.9,2058,"['North Indian', 'Mughlai']"
Belgian Waffle Factory,Brigade Road,400,4.9,1750,['Desserts']
Byg Brewski Brewing Company,Sarjapur Road,"1,600",4.9,17034,"['Continental', 'North Indian', 'Italian', 'South Indian', 'Finger Food']"
Brahmin's Coffee Bar,Basavanagudi,100,4.9,2711,['South Indian']
Taaza Thindi,Jayanagar,100,4.9,4152,['South Indian']
Santé Spa Cuisine,Indiranagar,"1,000",4.9,279,"['Healthy Food', 'Salad', 'Mediterranean']"
AB's - Absolute Barbecues,Marathahalli,"1,600",4.8,12306,"['European', 'Mediterranean', 'North Indian', 'BBQ']"
The Globe Grub,Marathahalli,"1,300",4.8,4119,"['Continental', 'North Indian', 'Asian', 'Italian']"
TBC Sky Lounge,HSR,"1,000",4.8,7312,"['Continental', 'Asian', 'Italian', 'North Indian']"
O.G. Variar & Sons,Rajajinagar,200,4.8,1169,"['Bakery', 'Desserts']"
The Boozy Griffin,Marathahalli,"1,800",4.8,4843,"['European', 'Continental']"
The Big Barbeque,Electronic City,"1,500",4.8,842,"['BBQ', 'North Indian', 'Continental', 'Chinese']"
Asia Kitchen By Mainland China,Koramangala 5th Block,"1,500",4.8,2435,"['Asian', 'Chinese', 'Thai', 'Momos']"
Barbecue by Punjab Grill,"Mantri Square, Malleshwaram","1,300",4.8,1402,['BBQ']
Milano Ice Cream,Indiranagar,400,4.8,2168,"['Ice Cream', 'Desserts']"
Punjab Grill,Whitefield,"2,000",4.8,706,['North Indian']
CTR,Malleshwaram,150,4.8,4452,['South Indian']
Namma SLN,Basavanagudi,100,4.6,113,['South Indian']
Smoke House Deli,Indiranagar,"1,600",4.6,5464,"['European', 'Italian', 'American', 'Salad', 'Juices', 'Cafe', 'Burger', 'Healthy Food']"
HOMMS,Marathahalli,300,4.6,246,"['Momos', 'Chinese', 'Fast Food']"
Tipsy Bull - The Bar Exchange,Indiranagar,"1,400",4.6,3225,"['Chinese', 'Continental', 'North Indian', 'Mexican']"
Mugful Of Stories,Kalyan Nagar,300,4.6,288,"['Desserts', 'Bakery']"
Kurtoskalacs,Koramangala 5th Block,400,4.6,345,"['Desserts', 'Fast Food']"
Bamboo Hut,Nagarbhavi,700,4.6,1351,"['Chinese', 'Cafe', 'Fast Food']"
Via Milano,Sarjapur Road,"1,500",4.6,161,"['Italian', 'Pizza', 'Salad', 'Desserts']"
Baar Union,HSR,850,4.6,800,"['Continental', 'Finger Food', 'Asian', 'Chinese']"
The Pancake Story,Koramangala 1st Block,300,4.6,131,"['Desserts', 'Beverages']"
The Blue Wagon - Kitchen,Jayanagar,400,4.6,254,"['Cafe', 'Beverages']"
Onesta,Marathahalli,600,4.6,3050,"['Pizza', 'Cafe', 'Italian']"
Fenny's Lounge And Kitchen,Koramangala 7th Block,"1,600",4.6,6454,"['Mediterranean', 'Pizza', 'Continental', 'Seafood', 'Salad']"
Natural Ice Cream,Indiranagar,200,4.6,962,"['Ice Cream', 'Beverages']"
The Twisted Desi,Indiranagar,"1,000",4.6,221,"['Continental', 'Italian', 'North Indian', 'Chinese']"
Maziga,"VR Bengaluru, Whitefield","1,500",4.6,304,['Modern Indian']
Saffron - Radisson Blu,"Radisson Blu, Marathahalli","2,500",4.6,507,"['North Indian', 'Mughlai', 'Lucknowi']"
Caperberry,UB City,"2,200",4.6,1444,"['Spanish', 'Italian', 'Mediterranean', 'European', 'Salad']"
Brik Oven,Church Street,"1,100",4.6,2321,"['Cafe', 'Pizza', 'Beverages']"
Zamindar,Kalyan Nagar,800,4.6,382,"['Biryani', 'Mughlai', 'Andhra']"
BelgYum,"Phoenix Market City Mall, Whitefield",400,4.6,1822,['Desserts']
Roots,Koramangala 1st Block,"1,200",4.6,1929,"['North Indian', 'South Indian', 'Chinese', 'Continental', 'Mangalorean']"
Monet's Bistro,Indiranagar,600,4.6,230,"['Cafe', 'Beverages']"
Koramangala Social,Koramangala 7th Block,"1,500",4.6,4876,"['American', 'North Indian', 'Chinese', 'Asian', 'Biryani', 'Beverages']"
Communiti,Residency Road,"1,500",4.6,4108,"['Continental', 'BBQ', 'Salad']"
Rim Naam - The Oberoi,"The Oberoi, MG Road","3,000",4.6,989,['Thai']
The London Curry House - The Royale Senate Hotel,Race Course Road,"1,300",4.6,4120,"['Pizza', 'North Indian', 'Modern Indian']"
Windmills Craftworks,Windmills Craftworks,"2,500",4.6,5977,"['American', 'North Indian', 'Salad']"
Bologna,Indiranagar,"1,000",4.6,805,['Italian']
Lot Like Crepes,Koramangala 7th Block,550,4.6,1030,"['Desserts', 'Continental']"
Toast & Tonic,Richmond Road,"1,500",4.6,1103,"['European', 'Asian']"
Oota Bangalore,Windmills Craftworks,"1,700",4.6,487,['South Indian']
Sea Lions BBQ & Grills,Jayanagar,"1,100",4.6,591,"['North Indian', 'Chinese', 'Mughlai', 'Mexican', 'BBQ']"
Big Pitcher,Old Airport Road,"1,800",4.6,9469,"['American', 'Continental', 'North Indian', 'Mediterranean']"
Stories,Rajajinagar,"1,100",4.6,2539,"['Continental', 'North Indian', 'Chinese']"
Bonum cibum,HSR,"1,200",4.6,401,"['Lebanese', 'Turkish']"
Here & Now,HSR,750,4.6,1621,"['Cafe', 'American', 'Burger', 'Beverages']"
Chili's American Grill & Bar,Bellandur,"1,800",4.6,1538,"['American', 'Tex-Mex', 'Burger', 'BBQ']"
The Fatty Bao - Asian Gastro Bar,Indiranagar,"1,200",4.6,3861,"['Japanese', 'Sushi', 'Asian']"
Yauatcha,"1 MG Road Mall, MG Road","2,800",4.6,2388,"['Chinese', 'Asian', 'Cantonese', 'Tea']"
Levitate Brewery and Kitchen,JP Nagar,"1,500",4.6,695,"['Finger Food', 'North Indian', 'Continental']"
XOOX Brewmill,Koramangala 5th Block,"2,000",4.6,1704,"['Modern Indian', 'European', 'Asian']"
The Terrace at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block","1,400",4.5,1000,"['Continental', 'Finger Food', 'Asian', 'North Indian']"
Stoner,Koramangala 5th Block,500,4.5,2671,"['Ice Cream', 'Cafe', 'Pizza', 'Burger', 'Desserts', 'Beverages']"
Chinita Real Mexican Food,Koramangala 5th Block,"1,200",4.5,773,['Mexican']
Shakes Theory,Jayanagar,300,4.5,159,"['Beverages', 'Sandwich']"
Chai Days,Indiranagar,200,4.5,146,"['Cafe', 'Tea', 'Beverages', 'Fast Food']"
Karma Kaapi,Jayanagar,250,4.5,192,"['Beverages', 'Tea']"
Pin Me Down,Koramangala 7th Block,800,4.5,855,"['Continental', 'Mexican', 'Chinese', 'North Indian']"
The Permit Room,Brigade Road,"1,500",4.5,1637,['South Indian']
Bengaluru Cafe,Jayanagar,150,4.5,146,['South Indian']
Output Bengaluru,"Soul Space Arena Mall, Marathahalli","1,000",4.5,941,"['North Indian', 'Continental']"
Mahjong Room - WelcomHotel Bengaluru,WelcomHotel,"1,200",4.5,156,['Chinese']
Toscano,"Forum Mall, Koramangala","1,500",4.5,758,"['Italian', 'Salad']"
Bloomsbury's Global Kitchen & Bakehouse,Whitefield,900,4.5,761,"['Cafe', 'Salad', 'Italian', 'American', 'Bakery', 'Beverages']"
Café Felix,"1 MG Road Mall, MG Road","1,700",4.5,735,"['American', 'Cafe', 'Continental']"
MISU,St. Marks Road,"1,700",4.5,1270,"['Asian', 'Japanese', 'Korean', 'Indonesian', 'Malaysian', 'Singaporean']"
Fire Station,Electronic City,"1,200",4.5,973,"['Continental', 'Mexican', 'Burger', 'Desserts', 'Italian', 'Pizza', 'North Indian', 'Chinese']"
Dhuaan,Koramangala 5th Block,800,4.5,180,"['Cafe', 'Continental']"
Vanilla Sky,HSR,"1,200",4.5,1037,"['Chinese', 'Continental', 'North Indian', 'Finger Food']"
Veena Stores,Malleshwaram,150,4.5,2431,['South Indian']
Sanchez Taqueria & Cantina,Indiranagar,800,4.5,95,"['Mexican', 'Tex-Mex']"
Smoor,Indiranagar,900,4.5,1752,"['Desserts', 'Cafe', 'Beverages']"
Karavalli - The Gateway Hotel,"The Gateway Hotel, Residency Road","3,500",4.5,682,"['Mangalorean', 'Konkan', 'Seafood', 'Kerala']"
ANTIGRAVITY,Marathahalli,"1,500",4.5,876,"['Continental', 'North Indian', 'Chinese', 'BBQ']"
Buff Buffet Buff,"BluPetal Hotel, Koramangala","1,500",4.5,3229,"['North Indian', 'Chinese', 'Continental', 'Thai', 'Salad']"
Republic Of Noodles - Lemon Tree Premier,"Lemon Tree Premier, Ulsoor","1,800",4.5,564,"['Malaysian', 'Singaporean', 'Thai']"
Hunger Camp,JP Nagar,"1,300",4.5,386,"['North Indian', 'South Indian', 'Chinese', 'Seafood']"
"3B's - Buddies, Bar & Barbecues",Marathahalli,"1,100",4.5,1962,"['North Indian', 'Mediterranean', 'European', 'BBQ']"
1131 Bar + Kitchen,Indiranagar,"1,500",4.5,2948,"['Continental', 'Asian', 'Italian', 'North Indian']"
Rolls & Bowls,Brookefield,250,4.5,157,"['Rolls', 'Chinese']"
IceBreakers,Koramangala 6th Block,500,4.5,513,"['Desserts', 'Ice Cream']"
Cloud Cafe,Nagarbhavi,700,4.5,2020,"['Cafe', 'Continental', 'American', 'Italian', 'Beverages']"
XO Belgian Waffle,BTM,400,4.5,583,"['Desserts', 'Beverages']"
Mudpipe Cafe,BTM,900,4.5,1894,"['Cafe', 'Continental', 'Burger']"
The Asian Curry House,"Mantri Square, Malleshwaram","1,000",4.5,800,"['Vietnamese', 'Thai', 'Burmese', 'Japanese']"
Olive Bar And Kitchen,Richmond Road,"1,800",4.5,2234,"['Mediterranean', 'European', 'Salad']"
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,"Sheraton Grand Bengaluru, Whitefield","2,500",4.5,530,"['Continental', 'Asian', 'South Indian', 'North Indian']"
The Pallet,Whitefield,"1,600",4.5,2869,"['Continental', 'Mediterranean', 'Italian', 'North Indian', 'Finger Food', 'Asian', 'Momos']"
ASEAN - On The Edge,Barton Centre,"1,800",4.5,881,"['Asian', 'Thai']"
Galito's,Whitefield,"1,000",4.5,598,"['African', 'Burger', 'Desserts', 'Beverages', 'Fast Food', 'Salad']"
Market Table,Koramangala 5th Block,900,4.5,575,"['Cafe', 'Continental', 'Mediterranean', 'Beverages']"
The Reservoire,Koramangala 5th Block,"1,300",4.5,2690,"['Continental', 'North Indian', 'Chinese', 'American']"
Hakuna Matata,JP Nagar,"1,200",4.5,2869,"['North Indian', 'Asian', 'Seafood', 'Chinese']"
Shao - Radisson Blu,"Radisson Blu, Marathahalli","3,000",4.5,315,"['Thai', 'Japanese', 'Chinese']"
Brew and Barbeque - A Microbrewery Pub,"Soul Space Arena Mall, Marathahalli","1,400",4.5,6064,"['Continental', 'North Indian', 'BBQ', 'Steak']"
Chikkanna Tiffin Room,City Market,200,4.5,209,['South Indian']
ShakesBierre,Brigade Road,"1,500",4.5,483,"['Asian', 'Continental', 'European', 'North Indian']"
Meghana Foods,Jayanagar,600,4.5,4556,"['Biryani', 'Andhra', 'North Indian', 'Seafood']"
Fabelle Chocolate Boutique - ITC Gardenia,ITC Gardenia,"1,250",4.5,239,"['Desserts', 'Ice Cream', 'Beverages']"
Arbor Brewing Company,Brigade Road,"2,000",4.5,8455,"['American', 'Continental']"
Polar Bear,"Varthur Main Road, Whitefield",300,4.5,61,"['Ice Cream', 'Desserts']"
Simon Says Brew Works,Koramangala 5th Block,"1,400",4.5,2234,"['Continental', 'American', 'Italian', 'Modern Indian', 'Pizza', 'Burger']"
Big Wong XL,Koramangala 5th Block,"1,400",4.5,735,"['Chinese', 'Sushi', 'Asian', 'Thai']"
Prost Brew Pub,Koramangala 4th Block,"1,800",4.5,7991,"['American', 'Continental', 'North Indian', 'Salad']"
Alba - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","4,000",4.5,582,['Italian']
Sultans of Spice,"BluPetal Hotel, Koramangala","1,300",4.5,3497,"['North Indian', 'Mughlai', 'Salad']"
Sharief Bhai,Koramangala 5th Block,700,4.5,1657,"['Mughlai', 'Biryani']"
eat.fit,HSR,500,4.5,1260,"['Healthy Food', 'North Indian', 'Biryani', 'Continental', 'Desserts']"
Pasta Street,Indiranagar,"1,300",4.5,1726,"['Italian', 'Pizza', 'Salad']"
Aligarh House,HSR,400,4.5,631,"['North Indian', 'Biryani', 'Awadhi', 'Mughlai']"
Sea Rock,Seshadripuram,"1,000",4.5,519,"['Mangalorean', 'Seafood', 'South Indian', 'North Indian', 'Chinese', 'Mughlai']"
99 Pancakes,Koramangala 5th Block,300,4.5,360,"['Desserts', 'Beverages', 'Cafe', 'Ice Cream']"
Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,600,4.5,213,"['Cafe', 'Italian', 'Desserts']"
Dyu Art Cafe,Koramangala 5th Block,800,4.5,3892,"['Cafe', 'Italian', 'Fast Food']"
Opus Food Stories,"OPUS, Sarjapur Road","1,800",4.5,206,"['Goan', 'Asian', 'North Indian', 'European', 'Continental']"
Mavalli Tiffin Room (MTR),Basavanagudi,250,4.5,2939,['South Indian']
Apsara Ice Cream,Indiranagar,200,4.5,215,"['Ice Cream', 'Desserts']"
Nakkshatra,Marathahalli,900,4.5,453,"['North Indian', 'Chinese']"
Avista Cafe Pizzeria,Hennur,650,4.5,514,"['Cafe', 'Italian']"
Seven Ate Nine,HSR,700,4.5,107,"['Modern Indian', 'South Indian', 'Pizza', 'Burger', 'Rolls']"
Hard Rock Cafe,St. Marks Road,"2,500",4.5,5318,"['American', 'BBQ']"
