rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
0,Punjab Grill,"Orion Mall, Malleshwaram","2,000",4.9,2058,"['North Indian', 'Mughlai']"
1,Byg Brewski Brewing Company,Sarjapur Road,"1,600",4.9,17034,"['Continental', 'North Indian', 'Italian', 'South Indian', 'Finger Food']"
2,Brahmin's Coffee Bar,Basavanagudi,100,4.9,2711,['South Indian']
3,Taaza Thindi,Jayanagar,100,4.9,4152,['South Indian']
4,Santé Spa Cuisine,Indiranagar,"1,000",4.9,279,"['Healthy Food', 'Salad', 'Mediterranean']"
5,Belgian Waffle Factory,Brigade Road,400,4.9,1750,['Desserts']
6,Milano Ice Cream,Indiranagar,400,4.8,2168,"['Ice Cream', 'Desserts']"
7,The Boozy Griffin,Marathahalli,"1,800",4.8,4843,"['European', 'Continental']"
8,O.G. Variar & Sons,Rajajinagar,200,4.8,1169,"['Bakery', 'Desserts']"
9,Asia Kitchen By Mainland China,Koramangala 5th Block,"1,500",4.8,2435,"['Asian', 'Chinese', 'Thai', 'Momos']"
10,CTR,Malleshwaram,150,4.8,4452,['South Indian']
11,The Globe Grub,Marathahalli,"1,300",4.8,4119,"['Continental', 'North Indian', 'Asian', 'Italian']"
12,TBC Sky Lounge,HSR,"1,000",4.8,7312,"['Continental', 'Asian', 'Italian', 'North Indian']"
13,Punjab Grill,Whitefield,"2,000",4.8,706,['North Indian']
14,The Big Barbeque,Electronic City,"1,500",4.8,842,"['BBQ', 'North Indian', 'Continental', 'Chinese']"
15,AB's - Absolute Barbecues,Marathahalli,"1,600",4.8,12306,"['European', 'Mediterranean', 'North Indian', 'BBQ']"
16,Barbecue by Punjab Grill,"Mantri Square, Malleshwaram","1,300",4.8,1402,['BBQ']
17,Kurtoskalacs,Koramangala 5th Block,400,4.6,345,"['Desserts', 'Fast Food']"
18,Rim Naam - The Oberoi,"The Oberoi, MG Road","3,000",4.6,989,['Thai']
19,Smoke House Deli,Indiranagar,"1,600",4.6,5464,"['European', 'Italian', 'American', 'Salad', 'Juices', 'Cafe', 'Burger', 'Healthy Food']"
20,Maziga,"VR Bengaluru, Whitefield","1,500",4.6,304,['Modern Indian']
21,Fenny's Lounge And Kitchen,Koramangala 7th Block,"1,600",4.6,6454,"['Mediterranean', 'Pizza', 'Continental', 'Seafood', 'Salad']"
22,Natural Ice Cream,Indiranagar,200,4.6,962,"['Ice Cream', 'Beverages']"
23,The Pancake Story,Koramangala 1st Block,300,4.6,131,"['Desserts', 'Beverages']"
24,Chili's American Grill & Bar,Bellandur,"1,800",4.6,1538,"['American', 'Tex-Mex', 'Burger', 'BBQ']"
25,Brik Oven,Church Street,"1,100",4.6,2321,"['Cafe', 'Pizza', 'Beverages']"
26,Baar Union,HSR,850,4.6,800,"['Continental', 'Finger Food', 'Asian', 'Chinese']"
27,Bologna,Indiranagar,"1,000",4.6,805,['Italian']
28,Lot Like Crepes,Koramangala 7th Block,550,4.6,1030,"['Desserts', 'Continental']"
29,Mugful Of Stories,Kalyan Nagar,300,4.6,288,"['Desserts', 'Bakery']"
30,Roots,Koramangala 1st Block,"1,200",4.6,1929,"['North Indian', 'South Indian', 'Chinese', 'Continental', 'Mangalorean']"
31,Bonum cibum,HSR,"1,200",4.6,401,"['Lebanese', 'Turkish']"
32,Caperberry,UB City,"2,200",4.6,1444,"['Spanish', 'Italian', 'Mediterranean', 'European', 'Salad']"
33,The Twisted Desi,Indiranagar,"1,000",4.6,221,"['Continental', 'Italian', 'North Indian', 'Chinese']"
34,Saffron - Radisson Blu,"Radisson Blu, Marathahalli","2,500",4.6,507,"['North Indian', 'Mughlai', 'Lucknowi']"
35,Bamboo Hut,Nagarbhavi,700,4.6,1351,"['Chinese', 'Cafe', 'Fast Food']"
36,Onesta,Marathahalli,600,4.6,3050,"['Pizza', 'Cafe', 'Italian']"
37,Zamindar,Kalyan Nagar,800,4.6,382,"['Biryani', 'Mughlai', 'Andhra']"
38,Here & Now,HSR,750,4.6,1621,"['Cafe', 'American', 'Burger', 'Beverages']"
39,Oota Bangalore,Windmills Craftworks,"1,700",4.6,487,['South Indian']
