rest_name,locality,cost_for_two,rating,cuisines
Asia Kitchen By Mainland China,Koramangala 5th Block,"1,500",4.9,"['Asian', 'Chinese', 'Thai', 'Momos']"
Belgian Waffle Factory,Brigade Road,400,4.9,['Desserts']
Byg Brewski Brewing Company,Sarjapur Road,"1,600",4.9,"['Continental', 'North Indian', 'Italian', 'South Indian', 'Finger Food']"
Taaza Thindi,Jayanagar,100,4.9,['South Indian']
Santé Spa Cuisine,Indiranagar,"1,000",4.9,"['Healthy Food', 'Salad', 'Mediterranean']"
AB's - Absolute Barbecues,Marathahalli,"1,600",4.9,"['European', 'Mediterranean', 'North Indian', 'BBQ']"
Punjab Grill,"Orion Mall, Malleshwaram","2,000",4.9,"['North Indian', 'Mughlai']"
Punjab Grill,Whitefield,"2,000",4.8,['North Indian']
Milano Ice Cream,Indiranagar,400,4.8,"['Ice Cream', 'Desserts']"
The Globe Grub,Marathahalli,"1,300",4.8,"['Continental', 'North Indian', 'Asian', 'Italian']"
The Boozy Griffin,Marathahalli,"1,800",4.8,"['European', 'Continental']"
The Pizza Bakery,Indiranagar,"1,200",4.8,"['Italian', 'Pizza', 'Beverages']"
O.G. Variar & Sons,Rajajinagar,200,4.8,"['Bakery', 'Desserts']"
Brahmin's Coffee Bar,Basavanagudi,100,4.8,['South Indian']
TBC Sky Lounge,HSR,"1,000",4.8,"['Continental', 'Asian', 'Italian', 'North Indian']"
Barbecue by Punjab Grill,"Mantri Square, Malleshwaram","1,300",4.8,['BBQ']
The Twisted Desi,Indiranagar,"1,000",4.7,"['Continental', 'Italian', 'North Indian', 'Chinese']"
Maziga,"VR Bengaluru, Whitefield","1,500",4.7,['Modern Indian']
The Big Barbeque,Electronic City,"1,500",4.7,"['BBQ', 'North Indian', 'Continental', 'Chinese']"
ECHOES Koramangala,Koramangala 5th Block,750,4.7,"['Chinese', 'American', 'Continental', 'Italian', 'North Indian']"
Barbeque Nation,Indiranagar,"1,600",4.7,"['North Indian', 'European', 'Mediterranean', 'BBQ', 'Kebab']"
You Mee,Whitefield,"2,000",4.7,"['Sushi', 'Japanese', 'Chinese', 'Thai']"
CTR,Malleshwaram,150,4.7,['South Indian']
Flechazo,Marathahalli,"1,400",4.7,"['Asian', 'Mediterranean', 'North Indian', 'BBQ']"
House Of Commons,Koramangala 5th Block,"1,000",4.7,"['Continental', 'Asian', 'North Indian']"
The Black Pearl,Marathahalli,"1,500",4.7,"['North Indian', 'European', 'Mediterranean', 'BBQ']"
Big Pitcher,Old Airport Road,"1,800",4.7,"['American', 'Continental', 'North Indian', 'Mediterranean']"
Arogya Ahaara,HSR,100,4.7,['South Indian']
Lot Like Crepes                                     ,Koramangala 7th Block,550,4.7,"['Desserts', 'Continental']"
Corner House Ice Cream,Indiranagar,400,4.7,"['Ice Cream', 'Desserts']"
Biergarten,Whitefield,"2,400",4.7,"['Continental', 'European', 'BBQ', 'Chinese', 'Asian']"
Toit,Indiranagar,"1,500",4.7,"['Italian', 'American', 'Pizza']"
Truffles,Koramangala 5th Block,900,4.7,"['Cafe', 'American', 'Burger', 'Steak']"
Brik Oven,Church Street,"1,100",4.6,"['Cafe', 'Pizza', 'Beverages']"
BelgYum                                     ,"Phoenix Market City Mall, Whitefield",400,4.6,['Desserts']
Kurtoskalacs,Koramangala 5th Block,400,4.6,"['Desserts', 'Fast Food']"
Natural Ice Cream,Indiranagar,200,4.6,"['Ice Cream', 'Beverages']"
Namma SLN                                     ,Basavanagudi,100,4.6,['South Indian']
Smoke House Deli,Indiranagar,"1,600",4.6,"['European', 'Italian', 'Desserts', 'Salad', 'Juices', 'Steak']"
The Pancake Story,Koramangala 1st Block,300,4.6,"['Desserts', 'Beverages']"
Smoor,Indiranagar,900,4.6,"['Desserts', 'Cafe', 'Beverages']"
Chianti,Indiranagar,"1,500",4.6,['Italian']
Saffron - Radisson Blu,"Radisson Blu, Marathahalli","2,500",4.6,"['North Indian', 'Mughlai', 'Lucknowi']"
Dock Frost'd,Marathahalli,400,4.6,"['Beverages', 'Desserts']"
Onesta,Marathahalli,600,4.6,"['Pizza', 'Cafe', 'Italian']"
Sea Lions BBQ & Grills,Jayanagar,"1,100",4.6,"['North Indian', 'Chinese', 'Mughlai', 'Mexican', 'BBQ']"
Toast & Tonic,Richmond Road,"1,500",4.6,"['European', 'Asian']"
Zamindar,Kalyan Nagar,800,4.6,"['Biryani', 'Mughlai', 'Andhra']"
Caperberry,UB City,"2,200",4.6,"['Spanish', 'Italian', 'Mediterranean', 'European', 'Salad']"
Yauatcha,"1 MG Road Mall, MG Road","2,800",4.6,"['Chinese', 'Asian', 'Cantonese', 'Tea']"
